"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"
"appraise_overall_best_1|1"	"Overall, <b>{0}</b> is a marvel to behold. What a breathtaking specimen!"	"全体的に、きみの <b>{0}</b> は、もはや芸術の域に達しているわ！"	"<b>{0}</b> est une merveille. Un spécimen captivant !"	"En su conjunto, tu {0} es una maravilla para la vista.  ¡Qué espécimen tan impresionante!"	"Dein {0} ist insgesamt einfach erstaunlich. Wirklich ein atemberaubendes Exemplar!"	"Nel complesso, il tuo <b>{0}</b> è una meraviglia assoluta. Che esemplare unico!"
"appraise_outro_1|1"	"This ends my analysis. Farewell."	"これでわたしの分析は終了。"	"Voilà, mon analyse est terminée. Je te laisse."	"Esto concluye mi análisis. Adiós."	"Meine Analyse ist damit abgeschlossen. Bis dann!"	"E con questo ho concluso la mia analisi. A presto!"
"appraise_intro_2|1"	"Hi, <b>{0}</b>! Let's take a look at <b>{1}</b>, shall we?"	"やぁ、<b>{0}</b>！きみの <b>{1}</b> を調べてみようか？"	"Salut, <b>{0}</b> ! Regardons <b>{1}</b> de plus près, d’accord ?"	"¡Hola, {0}! Vamos a echar un vistazo a tu {1}, ¿vale?"	"Hallo, {0}! Jetzt wollen wir uns mal dein {1} ansehen, ja?"	"Ciao <b>{0}</b>! Che ne dici di dare un'occhiata al tuo <b>{1}</b>?"
"appraise_size_tiny_2|1"	"<b>{0}</b> is so tiny, I almost didn't notice it!"	"きみの <b>{0}</b> は小さいね、よく見つけられたね！"	"<b>{0}</b> est si petit que j’ai failli ne pas le voir !"	"Tu {0} es tan pequeño que casi no lo veo."	"Dein {0} ist so winzig, ich hätte es fast übersehen!"	"il tuo <b>{0}</b> è così piccolo che non l'avevo nemmeno visto!"
"appraise_size_small_2|1"	"Aww, what a small <b>{0}</b>! It's rather cute, I'd say."	"小さい <b>{0}</b> だね！可愛いと思う。"	"Ce <b>{0}</b> est tout petit ! Il est si mignon..."	"Oooh... ¡Qué {0} tan pequeño! Es muy lindo, creo yo."	"Och, was für ein kleines {0}! So was von niedlich!"	"Ooh, che <b>{0}</b> piccolino! Più carino di così..."
"appraise_size_large_2|1"	"<b>{0}</b> is rather big, that's for sure!"	"きみの <b>{0}</b> は大きいほうだね、確かに。"	"<b>{0}</b> est plutôt grand !"	"No hay duda de que tu {0} es bastante grande."	"Dein {0} ist echt ganz schön groß!"	"Il tuo <b>{0}</b> è bello grosso, non c'è che dire!"
"appraise_size_huge_2|1"	"<b>{0}</b> is gigantic—the largest I've ever seen!"	"きみの <b>{0}</b> は巨大だね、今までで一番大きかも！"	"<b>{0}</b> est gigantesque. Le plus grand que j’ai jamais vu !"	"Tu {0} es gigantesco, ¡el más grande que he visto nunca!"	"Dein {0} ist gigantisch, das größte, das ich bisher gesehen habe!"	"Il tuo <b>{0}</b> è gigantesco, il più grande che abbia mai visto!"
"appraise_stat_low_2|1"	"Its <b>{0}</b> won't be of much use."	"<b>{0}</b> はあまり使えないかもしれない。"	"Ses statistiques <b>{0}</b> ne vont pas vraiment t’aider."	"Su {0} no te será de mucha utilidad."	"Sein {0} wird dir nicht viel bringen."	"Una statistica <b>{0}</b> del genere non sarà di grande aiuto."
"appraise_stat_mid_2|1"	"Its <b>{0}</b> will get the job done!"	"<b>{0}</b> は相当使えると思うよ！"	"Ses statistiques <b>{0}</b> vont beaucoup t’aider !"	"Su {0} te ayudará a cumplir tu objetivo."	"Sein {0} ist nicht von schlechten Eltern!"	"Una statistica <b>{0}</b> del genere è spesso sufficiente!"
"appraise_stat_high_2|1"	"It's got excellent <b>{0}</b>."	"<b>{0}</b> は充分ね。"	"Il a d’excellentes statistiques <b>{0}</b>."	"Cuenta con excelente {0}."	"Es hat einen hervorragenden {0}."	"Ha una statistica <b>{0}</b> eccellente!"
"appraise_stat_best_2|1"	"I'm blown away by its <b>{0}</b>. WOW!"	"驚異の <b>{0}</b> ね。すごい！"	"Je suis estomaqué par ses statistiques <b>{0}</b>. Bravo !"	"Estoy flipando con su {0}. ¡GUAU!"	"Sein {0} haut mich um. WOW!"	"Che statistica <b>{0}</b> eccezionale. Non riesco a credere ai miei occhi!"
"appraise_overall_low_2|1"	"Overall, <b>{0}</b> is a bit useless, but I still like it!"	"全体的に、きみの <b>{0}</b>} はあまり使えないけど、わたしは好き。"	"<b>{0}</b> n’est pas très fort, mais je l’aime bien !"	"En su conjunto, tu {0} es un poco inútil, pero aun así me gusta."	"Dein {0} ist insgesamt nicht allzu nützlich, aber ich mag es trotzdem!"	"Nel complesso, questo <b>{0}</b> è un po' inutile, ma mi piace lo stesso!"
"appraise_overall_mid_2|1"	"Overall, <b>{0}</b> is strong!"	"全体的に、きみの <b>{0}</b> は強い！"	"<b>{0}</b> est fort !"	"En su conjunto, tu {0} es fuerte."	"Dein {0} ist insgesamt stark!"	"Nel complesso, questo <b>{0}</b> è piuttosto forte."
"appraise_overall_high_2|1"	"Overall, <b>{0}</b> is very strong. You should be proud!"	"全体的に、きみの <b>{0}</b> はとても強い。自慢できるよ！"	"<b>{0}</b> est très fort. Tu dois être fier !"	"En su conjunto, tu {0} es muy fuerte. ¡Debes estar orgulloso!"	"Dein {0} ist insgesamt sehr stark. Du kannst stolz sein!"	"Nel complesso, questo <b>{0}</b> è molto forte. Devi esserne orgoglioso!"
"appraise_overall_best_2|1"	"Overall, <b>{0}</b> simply amazes me. It can accomplish anything!"	"全体的に、きみの <b>{0}</b> は言うことなしね。たのもしいわ！"	"C’est simple, <b>{0}</b> m’étonne beaucoup. Il peut tout faire !"	"En su conjunto, tu {0} simplemente me fascina. ¡Puede lograr cualquier cosa!"	"Von deinem {0} bin ich insgesamt total beeindruckt. Es kann einfach alles!"	"Nel complesso, questo <b>{0}</b> è semplicemente stupefacente. Non ha rivali!"
"appraise_outro_2|1"	"Hope I could help. Take care!"	"参考になったかな？じゃあ、またね！"	"J’espère que ça t’a aidé. À Bientôt !"	"Espero haberte ayudado. ¡Cuídate!"	"Ich hoffe, das hat ein wenig geholfen. Bis demnächst!"	"Sono felice di averti potuto aiutare. A presto!"
"appraise_intro_3|1"	"Hey, <b>{0}</b>! You want me to check out <b>{1}</b>?"	"ねえ、<b>{0}</b>！<b>{1}</b> を見てあげようか？"	"Dis-moi, <b>{0}</b>... Veux-tu que j’étudie ton <b>{1}</b> ?"	"¡Hola, {0}! ¿Quieres que examine a tu {1}?"	"Hey {0}! Soll ich mir dein {1} mal ansehen?"	"Ehi, <b>{0}</b>! Vuoi che dia un'occhiata al tuo <b>{1}</b>?"
"appraise_size_tiny_3|1"	"Wh-whoa. That's the <b>tiniest</b> <b>{0}</b> I have ever seen!"	"な、なんと。今まで見たなかで最小の <b>{0}</b> だよ！"	"Eh bien ! C’est le plus <b>petit</b> des <b>{0}</b> que j’ai jamais vu !
"	"Guau... ¡Es el {0} <b>más pequeñito</b> que he visto nunca!"	"Hoppla, das ist das <b>winzigste</b> {0}, das ich je gesehen habe!"	"Accidenti! Questo <b>{0}</b> è il più <i>piccolo</i> che abbia mai visto!"
"appraise_size_small_3|1"	"<b>{0}</b> is a little small for its kind, don't you think?"	"きみの <b>{0}</b> は、小さめだね。普通はもう少し大きいよ。"	"Ton {0} est petit pour son type, tu ne trouves pas ?"	"Tu {0} es un poco pequeño para su especie, ¿no crees?"	"Dein {0} ist ein bisschen klein geraten, meinst du nicht?"	"Il tuo <b>{0}</b> è un po' piccolo per la sua specie, non credi?"
"appraise_size_large_3|1"	"<b>{0}</b> is a <i>big</i> one!"	"きみの {0} はビッグなポケモンだ！"	"Ton {0} est très <i>imposant</i> !"	"¡Tu {0} es <i>bastante grande</i>!"	"Dein {0} ist <i>wirklich</i> groß!"	"Il tuo <b>{0}</b> è bello <i>grande</i>!"
"appraise_size_huge_3|1"	"<b>{0}</b> is... HUGE!!!"	"きみの <b>{0}</b> は... 大きい！！！"	"Ton {0} est... ÉNORME !"	"Tu {0} es... ¡¡¡ENORME!!!"	"Dein {0} ist ... RIESIG!"	"Il tuo <b>{0}</b> è... è... ENORME!!!"
"appraise_stat_low_3|1"	"Its <b>{0}</b> is...<i>OK</i>, I guess."	"{0} は... まあまあ、といったところかな。"	"Ses statistiques {0} sont... <i>passables</i>."	"Su {0} está... <i>bien</i>, supongo."	"Sein {0} ist ... <i>in Ordnung</i>, mehr nicht."	"La sua statistica <b>{0}</b> è <i>bassina</i>."
"appraise_stat_mid_3|1"	"Its <b>{0}</b> is pretty decent."	"<b>{0}</b> に関してはいい線いってるかな、うん。"	"Ses statistiques {0} sont tout à fait décentes."	"Su {0} está bastante bien."	"Sein {0} kann sich sehen lassen."	"Ha una statistica <b>{0}</b> decente."
"appraise_stat_high_3|1"	"Its <b>{0}</b> is really strong! Impressive!"	"<b>{0}</b> は相当なものだよ！本当に！"	"Ses statistiques {0} sont super-hautes. Impressionnant !"	"¡Su {0} es realmente fuerte! ¡Impresionante!"	"Sein {0} ist wirklich hoch! Hut ab!"	"Che statistica <b>{0}</b> forte! Incredibile!"
"appraise_stat_best_3|1"	"Its <b>{0}</b> is the best I've ever seen!"	"今まで見たなかでは最高の <b>{0}</b> だ！"	"Je n’ai jamais vu de statistiques {0} aussi fortes !"	"¡Su {0} es de lo mejorcito que he visto nunca!"	"Sein {0} ist der beste, den ich je gesehen habe!"	"La sua statistica <b>{0}</b> è la migliore che abbia mai visto!"
"appraise_overall_low_3|1"	"Overall, <b>{0}</b> is <i>OK-ish</i>."	"全体的に、きみの {0} は、まずまず、といったところ。"	"Ton {0} est <i>correct</i>, sans plus."	"En su conjunto, tu {0} está <i>más o menos bien</i>."	"Dein {0} ist insgesamt <i>mittelprächtig</i>."	"Nel complesso, questo <b>{0}</b> è un po' <i>scarso</i>."
"appraise_overall_mid_3|1"	"Overall, <b>{0}</b> is pretty decent."	"全体的に、きみの <b>{0}</b> は、まあまあ、だと思うよ！"	"Ton {0} est plutôt bien."	"En su conjunto, tu {0} está bastante bien."	"Dein {0} ist insgesamt ganz gut."	"Nel complesso, questo <b>{0}</b> è abbastanza decente."
"appraise_overall_high_3|1"	"Overall, <b>{0}</b> is really strong!"	"全体的に、きみの <b>{0}</b> はとても強い！"	"Ton {0} est vraiment fort !"	"En su conjunto, ¡tu {0} es realmente fuerte!"	"Dein {0} ist insgesamt wirklich stark!"	"Nel complesso, questo <b>{0}</b> è molto forte."
"appraise_overall_best_3|1"	"Overall, <b>{0}</b> is the strongest Pokémon I've ever seen!"	"全体的に、きみの <b>{0}</b> は、今までに見たポケモンのなかでも最強！"	"Ton {0} est le Pokémon le plus fort que j’ai jamais vu !"	"En su conjunto, ¡tu {0} es el Pokémon más fuerte que he visto nunca!"	"Dein {0} ist insgesamt das stärkste Pokémon, das ich je gesehen habe!"	"Nel complesso, questo <b>{0}</b> è il Pokémon più forte che abbia mai visto!"
"appraise_outro_3|1"	"That's what I think! See ya!"	"分析終了！じゃあ！"	"Voilà, je t’ai donné mon avis... À bientôt !"	"¡Eso es lo que pienso yo! ¡Hasta la vista!"	"So sehe ich das! Tschüss!"	"Io la penso così! Ciaooo!"
